"Snail_ID","Respirometry_Start_Time","Respirometry_Stop_Time","File_ID"
"1",2022-09-02 10:54:00,2022-09-02 11:40:00,"RJD_TMP12_pH_7.7_CH1_1_O2.csv"
"2",2022-09-02 10:54:00,2022-09-02 11:40:00,"RJD_TMP12_pH_7.7_CH2_2_O2.csv"
"3",2022-09-02 10:54:00,2022-09-02 11:40:00,"RJD_TMP12_pH_7.7_CH3_3_O2.csv"
"4",2022-09-02 10:54:00,2022-09-02 11:40:00,"RJD_TMP12_pH_7.7_CH4_4_O2.csv"
"Control-05",2022-09-02 10:54:00,2022-09-02 11:40:00,"RJD_TMP12_pH_7.7_CH5_Control-05_O2.csv"
"6",2022-09-02 14:09:00,2022-09-02 14:39:00,"RJD_TMP14_pH_7.7_CH1_6_O2.csv"
"7",2022-09-02 14:09:00,2022-09-02 14:39:00,"RJD_TMP14_pH_7.7_CH2_7_O2.csv"
"8",2022-09-02 14:09:00,2022-09-02 14:39:00,"RJD_TMP14_pH_7.7_CH3_8_O2.csv"
"9",2022-09-02 14:09:00,2022-09-02 14:39:00,"RJD_TMP14_pH_7.7_CH4_9_O2.csv"
"Control-10",2022-09-02 14:09:00,2022-09-02 14:39:00,"RJD_TMP14_pH_7.7_CH5_Control-10_O2.csv"
"11",2022-09-02 15:59:00,2022-09-02 16:31:00,"RJD_TMP16_pH_7.7_CH1_11_O2.csv"
"12",2022-09-02 15:59:00,2022-09-02 16:31:00,"RJD_TMP16_pH_7.7_CH2_12_O2.csv"
"13",2022-09-02 15:59:00,2022-09-02 16:31:00,"RJD_TMP16_pH_7.7_CH3_13_O2.csv"
"14",2022-09-02 15:59:00,2022-09-02 16:31:00,"RJD_TMP16_pH_7.7_CH4_14_O2.csv"
"Control-15",2022-09-02 15:59:00,2022-09-02 16:31:00,"RJD_TMP16_pH_7.7_CH5_Control-15_O2.csv"
"16",2022-09-02 17:12:00,2022-09-02 17:43:00,"RJD_TMP18_pH_7.7_CH1_16_O2.csv"
"17",2022-09-02 17:12:00,2022-09-02 17:43:00,"RJD_TMP18_pH_7.7_CH2_17_O2.csv"
"18",2022-09-02 17:12:00,2022-09-02 17:43:00,"RJD_TMP18_pH_7.7_CH3_18_O2.csv"
"19",2022-09-02 17:12:00,2022-09-02 17:43:00,"RJD_TMP18_pH_7.7_CH4_19_O2.csv"
"Control-20",2022-09-02 17:12:00,2022-09-02 17:43:00,"RJD_TMP18_pH_7.7_CH5_Control-20_O2.csv"
"21",2022-09-02 18:43:00,2022-09-02 19:14:00,"RJD_TMP20_pH_7.7_CH1_21_O2.csv"
"22",2022-09-02 18:43:00,2022-09-02 19:14:00,"RJD_TMP20_pH_7.7_CH2_22_O2.csv"
"23",2022-09-02 18:43:00,2022-09-02 19:14:00,"RJD_TMP20_pH_7.7_CH3_23_O2.csv"
"24",2022-09-02 18:43:00,2022-09-02 19:14:00,"RJD_TMP20_pH_7.7_CH4_24_O2.csv"
"Control-25",2022-09-02 18:43:00,2022-09-02 19:14:00,"RJD_TMP20_pH_7.7_CH5_Control-25_O2.csv"
"26",2022-09-02 20:02:00,2022-09-02 20:33:00,"RJD_TMP22_pH_7.7_CH1_26_O2.csv"
"27",2022-09-02 20:02:00,2022-09-02 20:33:00,"RJD_TMP22_pH_7.7_CH2_27_O2.csv"
"28",2022-09-02 20:02:00,2022-09-02 20:33:00,"RJD_TMP22_pH_7.7_CH3_28_O2.csv"
"29",2022-09-02 20:02:00,2022-09-02 20:33:00,"RJD_TMP22_pH_7.7_CH4_29_O2.csv"
"Control-30",2022-09-02 20:02:00,2022-09-02 20:33:00,"RJD_TMP22_pH_7.7_CH5_Control-30_O2.csv"
"31",2022-09-02 21:20:00,2022-09-02 21:51:00,"RJD_TMP24_pH_7.7_CH1_31_O2.csv"
"32",2022-09-02 21:20:00,2022-09-02 21:51:00,"RJD_TMP24_pH_7.7_CH2_32_O2.csv"
"33",2022-09-02 21:20:00,2022-09-02 21:51:00,"RJD_TMP24_pH_7.7_CH3_33_O2.csv"
"34",2022-09-02 21:20:00,2022-09-02 21:51:00,"RJD_TMP24_pH_7.7_CH4_34_O2.csv"
"Control-35",2022-09-02 21:20:00,2022-09-02 21:51:00,"RJD_TMP24_pH_7.7_CH5_Control-35_O2.csv"
"36",2022-09-02 23:00:00,2022-09-02 23:40:00,NA
"37",2022-09-02 23:00:00,2022-09-02 23:40:00,"RJD_TMP26_pH_7.7_CH2_37_O2.csv"
"38",2022-09-02 23:00:00,2022-09-02 23:40:00,"RJD_TMP26_pH_7.7_CH3_38_O2.csv"
"39",2022-09-02 23:00:00,2022-09-02 23:40:00,"RJD_TMP26_pH_7.7_CH4_39_O2.csv"
"Control-40",2022-09-02 23:00:00,2022-09-02 23:40:00,"RJD_TMP26_pH_7.7_CH5_Control-40_O2.csv"
"41",2022-09-02 10:54:00,2022-09-02 11:40:00,"RJD_TMP12_pH_8_CH6_41_O2.csv"
"42",2022-09-02 10:54:00,2022-09-02 11:40:00,"RJD_TMP12_pH_8_CH7_42_O2.csv"
"43",2022-09-02 10:54:00,2022-09-02 11:40:00,NA
"44",2022-09-02 10:54:00,2022-09-02 11:40:00,"RJD_TMP12_pH_8_CH9_44_O2.csv"
"Control-45",2022-09-03 04:57:00,2022-09-03 05:18:00,"RJD_TMP12_pH_8_CH10_Control-45_O2.csv"
"46",2022-09-02 14:09:00,2022-09-02 14:39:00,"RJD_TMP14_pH_8_CH6_46_O2.csv"
"47",2022-09-02 14:09:00,2022-09-02 14:39:00,"RJD_TMP14_pH_8_CH7_47_O2.csv"
"48",2022-09-02 14:09:00,2022-09-02 14:39:00,"RJD_TMP14_pH_8_CH10_48_O2.csv"
"49",2022-09-02 14:09:00,2022-09-02 14:39:00,"RJD_TMP14_pH_8_CH9_49_O2.csv"
"Control-50",2022-09-03 03:54:00,2022-09-03 04:16:00,"RJD_TMP14_pH_8_CH10_Control-50_O2.csv"
"51",2022-09-02 15:59:00,2022-09-02 16:31:00,"RJD_TMP16_pH_8_CH6_51_O2.csv"
"52",2022-09-02 15:59:00,2022-09-02 16:31:00,"RJD_TMP16_pH_8_CH7_52_O2.csv"
"53",2022-09-02 15:59:00,2022-09-02 16:31:00,"RJD_TMP16_pH_8_CH10_53_O2.csv"
"54",2022-09-02 15:59:00,2022-09-02 16:31:00,"RJD_TMP16_pH_8_CH9_54_O2.csv"
"Control-55",2022-09-03 03:22:00,2022-09-03 03:42:00,"RJD_TMP16_pH_8_CH10_Control-55_O2.csv"
"55",2022-09-02 17:12:00,2022-09-02 17:43:00,"RJD_TMP18_pH_8_CH6_56_O2.csv"
"57",2022-09-02 17:12:00,2022-09-02 17:43:00,"RJD_TMP18_pH_8_CH7_57_O2.csv"
"58",2022-09-02 17:12:00,2022-09-02 17:43:00,"RJD_TMP18_pH_8_CH10_58_O2.csv"
"59",2022-09-02 17:12:00,2022-09-02 17:43:00,"RJD_TMP18_pH_8_CH9_59_O2.csv"
"Control-60",2022-09-03 02:51:00,2022-09-03 03:12:00,"RJD_TMP18_pH_8_CH10_Control-60_O2.csv"
"61",2022-09-02 18:43:00,2022-09-02 19:14:00,"RJD_TMP20_pH_8_CH6_61_O2.csv"
"62",2022-09-02 18:43:00,2022-09-02 19:14:00,"RJD_TMP20_pH_8_CH7_62_O2.csv"
"63",2022-09-02 18:43:00,2022-09-02 19:14:00,"RJD_TMP20_pH_8_CH10_63_O2.csv"
