Algae_ID,Treatment,Initial_Algae_Weight,0:00,0:20,0:40,1:00,1:20,1:40,2:00,2:20,2:40,3:00
1,Blotted,1.154,1.154,1.0118,0.9311,0.8262,0.7702,0.7052,0.6762,0.6165,0.5472,0.5153
2,Blotted,1.2942,1.2942,1.1502,1.0807,0.9744,0.9127,0.848,0.8166,0.7543,0.6804,0.6466
3,Blotted,1.4725,1.4725,1.3302,1.2548,1.1358,1.0735,0.9983,0.9589,0.89,0.8138,0.7781
4,Blotted,1.0977,1.0977,0.9733,0.9069,0.8074,0.7539,0.6935,0.6417,0.5588,0.4749,0.4423
5,Blotted,1.2436,1.2436,1.1271,1.0598,0.9656,0.9156,0.8545,0.8189,0.7618,0.6882,0.6547
6,Blotted,1.5405,1.5405,1.4208,1.3438,1.2366,1.1771,1.1026,1.0575,0.9846,0.8985,0.8629
7,Blotted,1.0784,1.0784,0.9581,0.8898,0.7864,0.7352,0.6855,0.6523,0.6003,0.5295,0.4988
8,Blotted,0.8525,0.8525,0.7478,0.6842,0.5887,0.5414,0.4925,0.4597,0.41,0.3404,0.3104
9,Blotted,1.29,1.29,1.1713,1.099,0.9883,0.9319,0.8697,0.8251,0.7627,0.6793,0.6451
10,Blotted,1.3035,1.3035,1.19,1.1139,1.0081,0.9514,0.8908,0.8462,0.7855,0.7003,0.6652
11,Blotted,0.8971,0.8971,0.7959,0.7253,0.6314,0.5823,0.5325,0.4951,0.4469,0.3744,0.3437
12,Blotted,1.0971,1.0971,0.9736,0.887,0.7878,0.7377,0.6875,0.6476,0.5978,0.5194,0.4846
13,Blotted,1.2087,1.2087,1.1003,1.0302,0.9296,0.8699,0.8215,0.7779,0.7264,0.6457,0.613
14,Blotted,1.5887,1.5887,1.4643,1.3743,1.2612,1.1922,1.1329,1.0769,1.0152,0.9201,0.8833
15,Blotted,1.1203,1.1203,1.0198,0.9443,0.904,0.7812,0.7303,0.6839,0.6349,0.5568,0.5245
16,Non-Blotted,1.2399,1.2399,1.1245,1.0334,0.9083,0.8443,0.7899,0.7371,0.6867,0.598,0.5634
17,Non-Blotted,1.5869,1.5869,1.4773,1.3744,1.249,1.1773,1.1143,1.0517,0.9957,0.8974,0.8604
18,Non-Blotted,1.0697,1.0697,0.9765,0.8766,0.7666,0.7067,0.6584,0.6102,0.5684,0.4858,0.4526
19,Non-Blotted,1.1456,1.1456,1.0353,0.9376,0.8108,0.741,0.6873,0.6283,0.5734,0.4781,0.4458
20,Non-Blotted,1.1547,1.1547,1.0471,0.9606,0.8538,0.7911,0.7449,0.6897,0.6466,0.5596,0.5273
21,Non-Blotted,1.1401,1.1401,1.05,0.9615,0.8515,0.7847,0.7357,0.6738,0.6256,0.5323,0.4999
22,Non-Blotted,1.5982,1.5982,1.496,1.3994,1.2848,1.2095,1.1575,1.0827,1.0297,0.9072,0.8642
23,Non-Blotted,1.0743,1.0743,0.973,0.8809,0.7769,0.708,0.6583,0.5931,0.5486,0.4445,0.4083
24,Non-Blotted,1.1668,1.1668,1.0528,0.9584,0.8453,0.7741,0.7283,0.6621,0.6189,0.5173,0.4832
25,Non-Blotted,1.3025,1.3025,1.1915,1.0914,0.9717,0.8977,0.8552,0.79,0.7424,0.6406,0.5992
26,Non-Blotted,2.1414,2.1414,2.0284,1.9253,1.7956,1.7195,1.6705,1.5909,1.5374,1.4023,1.3564
27,Non-Blotted,1.1784,1.1784,1.0825,0.988,0.8793,0.8199,0.7824,0.7189,0.682,0.5849,0.5501
28,Non-Blotted,1.4105,1.4105,1.3243,1.2253,1.1109,1.0413,1.0008,0.9264,0.8869,0.7759,0.7377
29,Non-Blotted,1.1788,1.1788,1.0975,0.9979,0.8879,0.8216,0.7846,0.7169,0.6832,0.5776,0.5366
30,Non-Blotted,0.5692,0.5692,0.5361,0.4899,0.4373,0.3984,0.3779,0.3335,0.3116,0.2381,0.2085
