Time_Point,Cage_ID,Placement_Time_Before,Collection_Time_After,Date_Time_Measured,Drying_Duration,Algae_ID,Treatment_Control,Disk_Weight,Algae_Weight_Before,Disk_and_Algae_Weight_Before,Disk_and_Algae_Weight_After,Algae_Weight_After,Condition ,Notes
1,161601,8/24/22 20:00,8/27/22 20:00,8/27/22 23:26,3:26,01,T,14.4985,1.0624,15.5609,15.3556,0.5494,partially_consumed,
1,161602,8/24/22 20:00,8/27/22 20:00,8/27/22 23:25,3:25,02,T,14.5423,0.7685,15.3108,15.1961,0.4001,partially_consumed,
1,161603,8/24/22 20:00,8/27/22 20:00,8/27/22 23:24,3:24,03,T,14.5231,1.0251,15.5482,15.3292,0.5308,partially_consumed,
1,161604,8/24/22 20:00,8/27/22 20:00,8/27/22 23:23,3:23,04,T,14.5581,0.7308,15.2889,15.2682,0.4624,partially_consumed,
1,161605,8/24/22 20:00,8/27/22 20:00,8/27/22 23:22,3:22,Control-5,C,14.4196,1.1043,15.5239,15.3548,0.6482,control,
1,161606,8/24/22 20:00,8/27/22 20:00,8/27/22 23:21,3:21,06,T,14.5482,0.8707,15.4189,15.3172,0.4832,partially_consumed,
1,161607,8/24/22 20:00,8/27/22 20:00,8/27/22 23:20,3:20,07,T,14.5883,1.0459,15.6342,15.5519,0.6954,partially_consumed,
1,161608,8/24/22 20:00,8/27/22 20:00,8/27/22 23:19,3:19,08,T,14.4987,0.9699,15.4686,15.5142,0.7371,partially_consumed,
1,161609,8/24/22 20:00,8/27/22 20:00,8/27/22 23:18,3:18,09,T,14.4525,0.7778,15.2303,15.161,0.4796,partially_consumed,
1,161610,8/24/22 20:00,8/27/22 20:00,8/27/22 23:17,3:17,Control-10,C,14.49,1.2751,15.7651,15.5964,0.7887,control,
1,161611,8/24/22 20:00,8/27/22 20:00,8/27/22 23:16,3:16,11,T,14.599,1.1997,15.7987,15.6685,0.7742,consumed,
1,161612,8/24/22 20:00,8/27/22 20:00,8/27/22 23:15,3:15,12,T,14.5376,1.0213,15.5589,15.3133,0.5373,consumed,
1,161613,8/24/22 20:00,8/27/22 20:00,8/27/22 23:12,3:12,13,T,14.5694,0.6563,15.2257,15.2335,0.4966,consumed,
1,161614,8/24/22 20:00,8/27/22 20:00,8/27/22 23:11,3:11,14,T,14.6655,0.8457,15.5112,15.0905,0.2654,consumed,
1,161615,8/24/22 20:00,8/27/22 20:00,8/27/22 23:10,3:10,Control-15,C,14.509,0.6939,15.2029,15.4114,0.6069,control,
1,161616,8/24/22 20:00,8/27/22 20:00,8/27/22 23:09,3:09,16,T,14.6003,0.9734,15.5737,15.2867,0.4277,consumed,
1,161617,8/24/22 20:00,8/27/22 20:00,8/27/22 23:08,3:08,17,T,14.429,1.3388,15.7678,15.6485,0.9317,consumed,
1,161618,8/24/22 20:00,8/27/22 20:00,8/27/22 23:07,3:07,18,T,14.5153,1.1157,15.631,15.4015,0.6396,consumed,
1,161619,8/24/22 20:00,8/27/22 20:00,8/27/22 23:06,3:06,19,T,14.4927,0.7164,15.2091,15.3078,0.5858,consumed,
1,161620,8/24/22 20:00,8/27/22 20:00,8/27/22 23:05,3:05,Control-20,C,14.533,1.4581,15.9911,16.1946,1.3898,control,
1,161621,8/24/22 20:00,8/27/22 20:00,8/27/22 23:04,3:04,21,T,14.5425,1.0575,15.6,15.1871,0.4667,consumed,
1,161622,8/24/22 20:00,8/27/22 20:00,8/27/22 23:03,3:03,22,T,14.541,1.7598,16.3008,15.7099,0.9448,consumed,
1,161623,8/24/22 20:00,8/27/22 20:00,8/27/22 23:02,3:02,23,T,14.527,1.0249,15.5519,15.1748,0.5027,consumed,
1,161624,8/24/22 20:00,8/27/22 20:00,8/27/22 23:01,3:01,24,T,14.4869,1.1142,15.6011,15.3377,0.6612,consumed,
1,161625,8/24/22 20:00,8/27/22 20:00,8/27/22 23:00,3:00,Control-25,C,14.4993,1.3643,15.8636,15.954,1.2771,control,
1,161626,8/24/22 20:00,8/27/22 20:00,8/27/22 22:59,2:59,26,T,14.4769,1.1451,15.622,15.463,0.7617,consumed_degraded,
1,161627,8/24/22 20:00,8/27/22 20:00,8/27/22 22:58,2:58,27,T,14.5539,1.0065,15.5604,15.0157,0.2721,consumed_degraded,
1,161628,8/24/22 20:00,8/27/22 20:00,8/27/22 22:56,2:56,28,T,14.4465,0.8658,15.3123,14.9311,0.3667,consumed_degraded,
1,161629,8/24/22 20:00,8/27/22 20:00,8/27/22 22:53,2:53,29,T,14.5222,0.7965,15.3187,15.2179,0.4132,consumed_degraded,
1,161630,8/24/22 20:00,8/27/22 20:00,8/27/22 22:52,2:52,Control-30,C,14.559,1.3223,15.8813,15.7406,0.8854,control,
1,161631,8/24/22 20:00,8/27/22 20:00,8/27/22 22:50,2:50,31,T,14.5118,0.828,15.3398,14.5335,0,completely_consumed,empty during day
1,161632,8/24/22 20:00,8/27/22 20:00,8/27/22 22:49,2:49,32,T,14.5747,1.1042,15.6789,15.1745,0.4227,consumed_degraded,
1,161633,8/24/22 20:00,8/27/22 20:00,8/27/22 22:48,2:48,33,T,14.5581,1.0097,15.5678,14.9473,0.2787,consumed_degraded,
1,161634,8/24/22 20:00,8/27/22 20:00,8/27/22 22:47,2:47,34,T,14.4675,1.4644,15.9319,14.9108,0.291,consumed_degraded,
1,161635,8/24/22 20:00,8/27/22 20:00,8/27/22 22:46,2:46,Control-35,C,14.6088,1.3982,16.007,16.1198,1.1941,control,
1,161636,8/24/22 20:00,8/27/22 20:00,8/27/22 22:45,2:45,36,T,14.7214,0.9817,15.7031,15.633,1.199,degraded,
1,161637,8/24/22 20:00,8/27/22 20:00,8/27/22 22:44,2:44,37,T,14.5386,1.1685,15.7071,15.2862,0.5083,degraded,
1,161638,8/24/22 20:00,8/27/22 20:00,8/27/22 22:43,2:43,38,T,14.5909,1.0737,15.6646,15.4878,0.6659,degraded,
1,161639,8/24/22 20:00,8/27/22 20:00,8/27/22 22:42,2:42,39,T,14.5328,1.2234,15.7562,15.0698,0.3817,degraded,
1,161640,8/24/22 20:00,8/27/22 20:00,8/27/22 22:40,2:40,Control-40,C,14.5783,1.4501,16.0284,15.8154,0.9812,control,
1,161641,8/24/22 20:00,8/27/22 20:00,8/27/22 22:38,2:38,41,T,14.6475,0.8591,15.5066,15.2394,0.395,partially_consumed,
1,161642,8/24/22 20:00,8/27/22 20:00,8/27/22 22:36,2:36,42,T,14.5959,0.9504,15.5463,15.3757,0.5377,partially_consumed,
