Date,Tank_ID,Temp_Treatment,pH_Treatment,Temp_C.x,DO_mgL,DO_Percent,Conductivity,Salinity.x,YSI_Temp,mV.x,TrisCalDate.x,TrisCalDate.y,(Intercept),TTris,Temp_C.y,mV.y,Salinity.y,mVTris,pH,TA,TA_evap
2022-08-16,TNK_2,14,Low,14.158,13.45,130.7,50.4,33,14.3,-76.6,20220816,2022-08-16,-132.9887559388511,1.3799880481197195,14.158,-76.6,33,-113.45088515357212,7.790570768357563,2295.85838883838,2294.54721899895
2022-08-16,TNK_3,16,Low,17.266,9.14,116,49.8,32.7,17.4,-84.5,20220816,2022-08-16,-132.9887559388511,1.3799880481197195,17.266,-84.5,32.7,-109.16188230001605,7.906531987917979,2257.31550880304,2254.73866461491
2022-08-16,TNK_4,18,Low,20.916,6.66,90.4,50,32.8,21.1,-73.6,20220816,2022-08-16,-132.9887559388511,1.3799880481197195,20.916,-73.6,32.8,-104.12492592437906,7.6943895052310545,2365.70703174326,2361.65847435864
2022-08-16,TNK_5,20,Low,21.848,8.21,94.9,50.1,32.9,22.1,-69.6,20220816,2022-08-16,-132.9887559388511,1.3799880481197195,21.848,-69.6,32.9,-102.83877706353148,7.620337798731322,2303.44318752073,2298.19018139184
2022-08-16,TNK_6,22,Low,21.93,8.37,96,50.1,32.9,22.1,-77.6,20220816,2022-08-16,-132.9887559388511,1.3799880481197195,21.93,-77.6,32.9,-102.72561804358568,7.756469735106542,2292.59194101709,2286.06034004553
2022-08-16,TNK_7,24,Low,24.001,6.47,92.9,49.9,32.7,24,-74,20220816,2022-08-16,-132.9887559388511,1.3799880481197195,24.001,-74,32.7,-99.86766279592972,7.681347242620784,2296.17185028237,2288.32616058892
2022-08-16,TNK_8,26,Low,31.07,5.32,85.2,50.5,33,31.3,-78.2,20220816,2022-08-16,-132.9887559388511,1.3799880481197195,31.07,-78.2,33,-90.11252728377144,7.705932991983612,2254.77409228404,2245.79092856977
2022-08-16,TNK_9,12,Low,18.17,8.33,107.2,49,32.2,18.3,-58,20220816,2022-08-16,-132.9887559388511,1.3799880481197195,18.17,-58,32.2,-107.9143731045158,7.440628439332909,2280.98087955248,2270.60098931561
2022-08-16,TNK_10,14,Ambient,13.915,8.9,106,50.1,32.8,14.1,-95,20220816,2022-08-16,-132.9887559388511,1.3799880481197195,13.915,-95,32.8,-113.78622224926522,8.114720965972237,2284.82225005071,2273.13185763999
2022-08-16,TNK_11,16,Ambient,17.456,7.8,99.5,49.8,32.7,17.6,-78.5,20220816,2022-08-16,-132.9887559388511,1.3799880481197195,17.456,-78.5,32.7,-108.89968457087328,7.801145150231276,2271.72047974074,2258.81297701494
