Date ,Tank_Number,Temp_C,DO_mgL,DO_Percent,Conductivity,Salinity,YSI_Temp,mV
8/16/2022,TNK_2,14.158,13.45,130.7,50.4,33,14.3,-76.6
8/16/2022,TNK_3,17.266,9.14,116,49.8,32.7,17.4,-84.5
8/16/2022,TNK_4,20.916,6.66,90.4,50,32.8,21.1,-73.6
8/16/2022,TNK_5,21.848,8.21,94.9,50.1,32.9,22.1,-69.6
8/16/2022,TNK_6,21.93,8.37,96,50.1,32.9,22.1,-77.6
8/16/2022,TNK_7,24.001,6.47,92.9,49.9,32.7,24,-74
8/16/2022,TNK_8,31.07,5.32,85.2,50.5,33,31.3,-78.2
8/16/2022,TNK_9,18.17,8.33,107.2,49,32.2,18.3,-58
8/16/2022,TNK_10,13.915,8.9,106,50.1,32.8,14.1,-95
8/16/2022,TNK_11,17.456,7.8,99.5,49.8,32.7,17.6,-78.5
8/16/2022,TNK_12,19.02,7.57,99.4,50.1,32.9,19.2,-80.6
8/16/2022,TNK_13,22.235,8.81,101.8,50.1,32.9,22.4,-90.5
8/16/2022,TNK_14,25.046,6.15,90.7,50.2,32.9,25.3,-86.1
8/16/2022,TNK_15,29.954,7.03,98.5,50.4,32.9,30.1,-85
8/16/2022,TNK_16,31.952,5.46,80.6,50.9,33.2,32.2,-93.2
8/16/2022,TNK_18,15.205,11.8,112.9,50.2,32.8,13.4,-84.3
8/16/2022,TNK_SMP,10.199,11.22,123,50.9,33.2,10.1,-91.3
8/17/2022,TNK_2,14.186,10.4,124,49.05,32,14.4,-70.9
8/17/2022,TNK_3,14.612,9.9,118.6,50,32.8,14.7,-70.9
8/17/2022,TNK_4,18.074,8.57,110.9,50,32.8,18.2,-74.7
8/17/2022,TNK_5,19.308,8.23,108,50.2,33,19.3,-74.8
8/17/2022,TNK_6,20.565,7.45,100.7,50.2,33,20.7,-74.7
8/17/2022,TNK_7,20.846,7.64,102.2,50.2,33,20.2,-76
8/17/2022,TNK_8,25.022,6.66,97.7,50.1,32.8,25.4,-77.3
8/17/2022,TNK_9,15.623,8.57,105.3,50.2,32.9,15.7,-72.6
8/17/2022,TNK_10,13.004,9.18,107.4,50.2,32.8,13.2,-84.4
8/17/2022,TNK_11,15.958,8.18,101.4,50.2,32.9,16.1,-84.9
8/17/2022,TNK_12,17.33,7.92,100.8,50.1,32.9,17.5,-84.1
8/17/2022,TNK_13,20.68,7.45,100.3,49.8,32.7,20.7,-85.9
8/17/2022,TNK_14,22.066,6.97,96.8,50.2,32.9,22.2,-81.2
8/17/2022,TNK_15,22.63,7.51,105.6,50,32.7,22.8,-90.2
8/17/2022,TNK_16,17.2,8.5,108,50.5,33.1,17.4,-91.3
8/17/2022,TNK_18,12.156,9.72,111.8,50.6,33.1,12.3,-85.4
8/17/2022,TNK_SMP,10.322,9.82,108.7,50.6,33,10.5,-84.6
8/18/2022,TNK_2,14.236,8.9,106.6,50,32.7,14.4,-70.6
8/18/2022,TNK_3,14.425,8.82,106.3,50.5,33.2,14.4,-73.4
8/18/2022,TNK_4,17.941,7.02,90.5,50.4,33.1,18.1,-76
8/18/2022,TNK_5,19.497,7.33,97.3,50.1,32.9,19.7,-75.2
8/18/2022,TNK_6,21.212,7.11,97.6,50.4,33.1,21.3,-74.7
8/18/2022,TNK_7,14.268,8.91,106.5,49.5,32.4,14.4,-75.4
8/18/2022,TNK_8,25.893,5.14,85.4,50.4,33,26,-78
8/18/2022,TNK_9,15.549,9.09,111.9,49.8,32.5,15.7,-73.6
8/18/2022,TNK_10,12.929,9.22,107.3,49.7,32.6,13.1,-90.3
8/18/2022,TNK_11,15.871,7.88,97.6,50.5,33.1,15.9,-91.1
8/18/2022,TNK_12,17.925,7.25,93.5,50.4,33.1,18,-91.1
8/18/2022,TNK_13,20.499,7.21,97.7,50.2,33,20.7,-88.8
8/18/2022,TNK_14,22.096,6.82,94.7,50.3,33,22.2,-84
8/18/2022,TNK_15,22.429,7.26,100.5,48.9,31.9,22.7,-92.3
8/18/2022,TNK_16,14.669,9.27,112.9,51.4,33.8,14.9,-92.5
8/18/2022,TNK_18,12.101,9.61,110.5,50.9,33.3,12.2,-92.1
8/18/2022,TNK_SMP,11.845,10.03,111.4,51.5,33.6,10.3,-88.7
8/19/2022,TNK_2,14.201,12.4,148.7,50.1,32.8,14.4,-70
8/19/2022,TNK_3,15.227,10.34,126.7,50.3,33.5,15.4,-72.5
8/19/2022,TNK_4,18.123,7.4,108.6,50.4,33.1,18.2,-73.2
8/19/2022,TNK_5,19.979,7.86,104.6,50.4,33.1,19.7,-74.3
8/19/2022,TNK_6,19.366,7.99,105.8,50.3,33.1,19.5,-73.1
8/19/2022,TNK_7,23.548,7.01,100.1,49.5,32.5,23.8,-71
8/19/2022,TNK_8,21.755,7.11,98.3,50.2,32.9,21.9,-75.7
8/19/2022,TNK_9,11.773,9.93,112.6,48.9,31.5,11.9,-71.8
8/19/2022,TNK_10,13.998,8.63,103.1,50.3,33,14.2,-90.3
8/19/2022,TNK_11,15.886,7.9,97.9,50.3,33,16,-89.6
8/19/2022,TNK_12,18.041,7.59,98.9,50.4,33.1,18.2,-90.4
8/19/2022,TNK_13,20.45,7.8,105.3,49.9,32.7,20.6,-90.7
8/19/2022,TNK_14,22.06,7.35,102.2,50.3,33,22.2,-89.2
8/19/2022,TNK_15,22.832,7.45,104.8,49.7,32.6,23,-92
8/19/2022,TNK_16,24.821,6.75,98.6,50.5,33.1,24.9,-93.7
8/19/2022,TNK_18,12.391,9.95,116.6,51.3,33.8,12.6,-90.2
8/20/2022,TNK_SMP,10.323,10.5,113,51.5,28,9.8,-89.5
8/20/2022,TNK_2,15.781,9.91,120.9,50.4,33,15.9,-74.4
8/20/2022,TNK_3,16.856,9.26,116.8,50.3,33,16.8,-76.2
8/20/2022,TNK_4,19.453,7.91,103.4,50.5,33.2,19.4,-75.4
8/20/2022,TNK_5,19.113,7.83,102.7,50.7,33.3,19.2,-77.9
8/20/2022,TNK_6,18.312,7.63,99.2,50.4,33.1,18.5,-77.5
8/20/2022,TNK_7,23.179,7.17,100.8,50.3,32.1,23.4,-74
8/20/2022,TNK_8,25.884,6.34,94,50.6,33.2,26.1,-78.8
8/20/2022,TNK_9,13.684,9.62,113,50.5,33.1,13.8,-78.8
8/20/2022,TNK_10,13.858,9.4,118,50.7,33.2,14,-90.8
8/20/2022,TNK_11,15.797,8.6,105.9,50.4,33.1,15.8,-90.8
8/20/2022,TNK_12,17.625,8.1,103.9,50.6,33.2,17.8,91.7
