"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2023/02/01","00:00","-0.492","-","-0.416"
"2023/02/01","01:00","-0.243","-","-0.145"
"2023/02/01","02:00","-0.028","-","0.058"
"2023/02/01","03:00","0.113","-","0.201"
"2023/02/01","04:00","0.165","-","0.246"
"2023/02/01","05:00","0.136","-","0.2"
"2023/02/01","06:00","0.062","-","0.103"
"2023/02/01","07:00","-0.014","-","0.035"
"2023/02/01","08:00","-0.046","-","0.025"
"2023/02/01","09:00","-0.003","-","0.028"
"2023/02/01","10:00","0.122","-","0.149"
"2023/02/01","11:00","0.31","-","0.371"
"2023/02/01","12:00","0.517","-","0.582"
"2023/02/01","13:00","0.689","-","0.765"
"2023/02/01","14:00","0.772","-","0.832"
"2023/02/01","15:00","0.73","-","0.811"
"2023/02/01","16:00","0.551","-","0.652"
"2023/02/01","17:00","0.258","-","0.358"
"2023/02/01","18:00","-0.105","-","-0.003"
"2023/02/01","19:00","-0.473","-","-0.381"
"2023/02/01","20:00","-0.779","-","-0.705"
"2023/02/01","21:00","-0.968","-","-0.914"
"2023/02/01","22:00","-1.01","-","-0.969"
"2023/02/01","23:00","-0.906","-","-0.886"
"2023/02/02","00:00","-0.688","-","-0.654"
"2023/02/02","01:00","-0.41","-","-0.33"
"2023/02/02","02:00","-0.135","-","-0.038"
"2023/02/02","03:00","0.08","-","0.146"
"2023/02/02","04:00","0.197","-","0.252"
"2023/02/02","05:00","0.21","-","0.256"
"2023/02/02","06:00","0.139","-","0.168"
"2023/02/02","07:00","0.032","-","0.06"
"2023/02/02","08:00","-0.058","-","-0.038"
"2023/02/02","09:00","-0.081","-","-0.084"
"2023/02/02","10:00","-0.01","-","-0.02"
"2023/02/02","11:00","0.154","-","0.157"
"2023/02/02","12:00","0.377","-","0.402"
"2023/02/02","13:00","0.605","-","0.62"
"2023/02/02","14:00","0.773","-","0.785"
"2023/02/02","15:00","0.826","-","0.862"
"2023/02/02","16:00","0.732","-","0.776"
"2023/02/02","17:00","0.491","-","0.551"
"2023/02/02","18:00","0.139","-","0.189"
"2023/02/02","19:00","-0.262","-","-0.252"
"2023/02/02","20:00","-0.639","-","-0.646"
