Start date,End date,Mean,Min,Max
2020-12-14T00:00:00Z,2020-12-21T00:00:00Z,8.003999084249088,7.9829,8.0226
2020-12-21T00:00:00Z,2020-12-28T00:00:00Z,8.02266392857145,7.9959,8.0527
2020-12-28T00:00:00Z,2021-01-04T00:00:00Z,8.030626476719947,7.9847,8.0601
2021-01-04T00:00:00Z,2021-01-11T00:00:00Z,7.999685413354541,7.9314,8.0612
2021-01-11T00:00:00Z,2021-01-18T00:00:00Z,7.993177332274703,7.8787,8.0653
2021-01-18T00:00:00Z,2021-01-25T00:00:00Z,8.050785119047637,7.977,8.0819
2021-01-25T00:00:00Z,2021-02-01T00:00:00Z,8.051632421875002,8.0302,8.0856
2021-02-01T00:00:00Z,2021-02-08T00:00:00Z,,,
2021-02-08T00:00:00Z,2021-02-15T00:00:00Z,,,
2021-02-15T00:00:00Z,2021-02-22T00:00:00Z,,,
2021-02-22T00:00:00Z,2021-03-01T00:00:00Z,8.027700517687652,7.9162,8.0594
2021-03-01T00:00:00Z,2021-03-08T00:00:00Z,8.05532593476533,7.5892,8.3482
2021-03-08T00:00:00Z,2021-03-15T00:00:00Z,8.036265885623516,7.9148,8.1132
2021-03-15T00:00:00Z,2021-03-22T00:00:00Z,7.991439578361165,7.8296,8.0853
2021-03-22T00:00:00Z,2021-03-29T00:00:00Z,8.036312594358371,7.8736,8.1563
2021-03-29T00:00:00Z,2021-04-05T00:00:00Z,8.056304606830832,7.9584,8.408
2021-04-05T00:00:00Z,2021-04-12T00:00:00Z,8.084990970564842,8.0161,8.1412
2021-04-12T00:00:00Z,2021-04-19T00:00:00Z,8.057453619729495,7.7957,8.1377
2021-04-19T00:00:00Z,2021-04-26T00:00:00Z,8.02354453714738,7.8355,8.1614
2021-04-26T00:00:00Z,2021-05-03T00:00:00Z,8.065528014325498,7.8174,8.306
2021-05-03T00:00:00Z,2021-05-10T00:00:00Z,8.124114586645481,8.0509,8.3144
2021-05-10T00:00:00Z,2021-05-17T00:00:00Z,8.062633611111123,7.9011,8.1725
2021-05-17T00:00:00Z,2021-05-24T00:00:00Z,8.035618253968266,7.8446,8.1064
2021-05-24T00:00:00Z,2021-05-31T00:00:00Z,7.996324970178948,7.6668,8.3107
2021-05-31T00:00:00Z,2021-06-07T00:00:00Z,8.050141428571438,7.9749,8.0936
2021-06-07T00:00:00Z,2021-06-14T00:00:00Z,8.041489088729003,7.9816,8.0815
2021-06-14T00:00:00Z,2021-06-21T00:00:00Z,8.0241393396977,7.9859,8.0512
2021-06-21T00:00:00Z,2021-06-28T00:00:00Z,8.019567726550086,7.6606,8.1005
2021-06-28T00:00:00Z,2021-07-05T00:00:00Z,8.063144170314366,7.7039,8.1938
2021-07-05T00:00:00Z,2021-07-12T00:00:00Z,8.016361119936468,7.9381,8.0778
2021-07-12T00:00:00Z,2021-07-19T00:00:00Z,7.997067818831934,7.9597,8.0453
2021-07-19T00:00:00Z,2021-07-26T00:00:00Z,8.019009043824703,7.9694,8.0724
2021-07-26T00:00:00Z,2021-08-02T00:00:00Z,8.033066825396824,7.9467,8.0908
2021-08-02T00:00:00Z,2021-08-09T00:00:00Z,8.027562225767868,7.9657,8.1238
2021-08-09T00:00:00Z,2021-08-16T00:00:00Z,8.019578892871348,7.9645,8.0474
2021-08-16T00:00:00Z,2021-08-23T00:00:00Z,7.975858181096106,7.8432,8.0278
2021-08-23T00:00:00Z,2021-08-30T00:00:00Z,7.9774459126984185,7.8506,8.132
2021-08-30T00:00:00Z,2021-09-06T00:00:00Z,8.033930310358752,7.8606,8.2053
2021-09-06T00:00:00Z,2021-09-13T00:00:00Z,8.009336487025948,7.9696,8.0496
2021-09-13T00:00:00Z,2021-09-20T00:00:00Z,8.003364069952312,7.9474,8.0306
2021-09-20T00:00:00Z,2021-09-27T00:00:00Z,8.00350055732483,7.9546,8.0358
2021-09-27T00:00:00Z,2021-10-04T00:00:00Z,8.018366227018374,7.9656,8.2631
2021-10-04T00:00:00Z,2021-10-11T00:00:00Z,8.017327034537493,7.9479,8.0644
2021-10-11T00:00:00Z,2021-10-18T00:00:00Z,7.97912568479556,7.8853,8.0858
2021-10-18T00:00:00Z,2021-10-25T00:00:00Z,8.006696388888855,7.9234,8.1242
2021-10-25T00:00:00Z,2021-11-01T00:00:00Z,8.087426468253966,7.9744,8.3712
2021-11-01T00:00:00Z,2021-11-08T00:00:00Z,8.037090999601757,7.9154,8.332
2021-11-08T00:00:00Z,2021-11-15T00:00:00Z,8.003451821862337,7.8774,8.1368
2021-11-15T00:00:00Z,2021-11-22T00:00:00Z,7.9708926131850735,7.8352,8.3507
2021-11-22T00:00:00Z,2021-11-29T00:00:00Z,8.035667992047712,7.9012,8.1255
2021-11-29T00:00:00Z,2021-12-06T00:00:00Z,8.046383426073115,7.9737,8.1349
2021-12-06T00:00:00Z,2021-12-13T00:00:00Z,8.022082380952389,7.9428,8.07
