Snail_ID,Shell_Width_mm,Shell_Height_mm,Initial_Blotted_Wet_Mass_g,Final_Blotted_Wet_Mass_g,Organism_Volume_mL,Experiment_Start_Date,Experiment_End_Date,Mortality
1,20.94,18.53,4.219,4.7775,3.5,8/16/22,9/2/22,
2,22.23,19.43,5.146,5.2827,4,8/16/22,9/2/22,
3,22.21,20.33,4.381,5.2423,3.5,8/16/22,9/2/22,
4,22.3,19.75,5.041,5.6358,4,8/16/22,9/2/22,
Control-05,0,0,0,0,0,8/16/22,9/2/22,
6,20.09,18.04,3.977,4.256,4.5,8/16/22,9/2/22,
7,19.93,13.71,4.094,4.6785,3,8/16/22,9/2/22,
8,21.09,18.68,4.258,4.7144,3,8/16/22,9/2/22,
9,20.66,18.95,5.112,5.9633,4,8/16/22,9/2/22,
Control-10,0,0,0,0,0,8/16/22,9/2/22,
11,19.96,19.28,3.859,4.2886,2.5,8/16/22,9/2/22,
12,21.68,21.55,5.193,5.6955,3,8/16/22,9/2/22,
13,20.91,18.12,4.48,5.169,3,8/16/22,9/2/22,
14,21.13,20.52,4.545,5.2694,4,8/16/22,9/2/22,
Control-15,0,0,0,0,0,8/16/22,9/2/22,
16,21.27,21.11,4.45,4.9831,3,8/16/22,9/2/22,
17,21.94,21.82,4.747,5.5286,3,8/16/22,9/2/22,
18,22.04,22.84,5.137,5.7439,3.5,8/16/22,9/2/22,
19,20.93,22.06,4.562,4.9827,3,8/16/22,9/2/22,
Control-20,0,0,0,0,0,8/16/22,9/2/22,
21,21.31,19.58,4.482,5.2297,3,8/16/22,9/2/22,
22,20.12,18.75,3.634,3.9327,2.5,8/16/22,9/2/22,
23,19.33,19.64,3.873,4.3538,3,8/16/22,9/2/22,
24,20.31,19,4.038,4.3352,2.5,8/16/22,9/2/22,
Control-25,0,0,0,0,0,8/16/22,9/2/22,
26,20.98,20.27,4.791,4.9635,3,8/16/22,9/2/22,
27,21.48,20.33,4.57,5.0849,3,8/16/22,9/2/22,
28,22.18,22.05,5.53,6.0681,4.5,8/16/22,9/2/22,
29,21.6,20.39,4.463,5.0393,3,8/16/22,9/2/22,
Control-30,0,0,0,0,0,8/16/22,9/2/22,
31,19.13,19.36,4.487,4.9874,3,8/16/22,9/2/22,
32,19.63,16.94,3.629,3.8534,2.5,8/16/22,9/2/22,
