Start_Date,Snail_ID,Shell_Width_mm,Shell_Height_mm,Initial_Blotted_Wet_Mass_g,Initial_Blotted_Wet_Mass_W_Tag_g,Tag_Weight_g,End_Date,Final_Blotted_Wet_Mass_W_Tag_g,Final_Blotted_Wet_Mass_g,Organism_Volume_mL,Notes
8/16/22,01,20.94,18.53,4.204,4.219,0.015,9/2/22,4.7926,4.7775,3.5,
8/16/22,02,22.23,19.43,5.142,5.146,0.004,9/2/22,5.2864,5.2827,4,
8/16/22,03,22.21,20.33,4.369,4.381,0.012,9/2/22,5.2541,5.2423,3.5,
8/16/22,04,22.3,19.75,5.026,5.041,0.015,9/2/22,5.6509,5.6358,4,
8/16/22,05,20.54,19.49,4.675,4.695,0.02,9/2/22,NA,NA,NA,
8/16/22,06,20.09,18.04,3.953,3.977,0.024,9/2/22,4.2796,4.256,4.5,
8/16/22,07,19.93,13.71,4.07,4.094,0.024,9/2/22,4.7025,4.6785,3,
8/16/22,08,21.09,18.68,4.234,4.258,0.024,9/2/22,4.7384,4.7144,3,
8/16/22,09,20.66,18.95,5.087,5.112,0.025,9/2/22,5.9883,5.9633,4,
8/16/22,10,21.42,17.72,5.008,5.041,0.033,9/2/22,NA,NA,NA,
8/16/22,11,19.96,19.28,3.834,3.859,0.025,9/2/22,4.3135,4.2886,2.5,
8/16/22,12,21.68,21.55,5.159,5.193,0.034,9/2/22,5.729,5.6955,3,
8/16/22,13,20.91,18.12,4.442,4.48,0.038,9/2/22,5.207,5.169,3,
8/16/22,14,21.13,20.52,4.515,4.545,0.03,9/2/22,5.2994,5.2694,4,
8/16/22,15,21.83,21.1,5.08,5.112,0.032,9/2/22,NA,NA,NA,
8/16/22,16,21.27,21.11,4.43,4.45,0.02,9/2/22,5.0031,4.9831,3,
8/16/22,17,21.94,21.82,4.735,4.747,0.012,9/2/22,5.5406,5.5286,3,
8/16/22,18,22.04,22.84,5.123,5.137,0.014,9/2/22,5.7579,5.7439,3.5,
8/16/22,19,20.93,22.06,4.546,4.562,0.016,9/2/22,4.9987,4.9827,3,
8/16/22,20,21.43,18.77,5.097,5.129,0.032,9/2/22,NA,NA,NA,
8/16/22,21,21.31,19.58,4.462,4.482,0.02,9/2/22,5.2497,5.2297,3,
8/16/22,22,20.12,18.75,3.624,3.634,0.01,9/2/22,3.9427,3.9327,2.5,
8/16/22,23,19.33,19.64,3.852,3.873,0.021,9/2/22,4.3748,4.3538,3,
8/16/22,24,20.31,19,4.006,4.038,0.032,9/2/22,4.3672,4.3352,2.5,
8/16/22,25,21.08,19.64,4.11,4.132,0.022,9/2/22,NA,NA,NA,
8/16/22,26,20.98,20.27,4.763,4.791,0.028,9/2/22,4.9916,4.9635,3,
8/16/22,27,21.48,20.33,4.555,4.57,0.015,9/2/22,5.0999,5.0849,3,
8/16/22,28,22.18,22.05,5.5,5.53,0.03,9/2/22,6.0981,6.0681,4.5,
8/16/22,29,21.6,20.39,4.443,4.463,0.02,9/2/22,5.0593,5.0393,3,
