Identity,Temp_Treatment,pH_Treatment,Date,Start_Time,Stop_Time
organism,TMP12,7.7,9/2/22,10:54,11:40
organism,TMP12,8,9/2/22,10:54,11:40
control,TMP12,8,9/2/22,10:54,11:40
organism,TMP14,7.7,9/2/22,14:09,14:39
organism,TMP14,8,9/2/22,14:09,14:39
control,TMP14,8,9/2/22,14:09,14:39
organism,TMP16,7.7,9/2/22,15:59,16:31
organism,TMP16,8,9/2/22,15:59,16:31
control,TMP16,8,9/2/22,15:59,16:31
organism,TMP18,7.7,9/2/22,17:12,17:43
organism,TMP18,8,9/2/22,17:12,17:43
control,TMP18,8,9/2/22,17:12,17:43
organism,TMP20,7.7,9/2/22,18:43,19:14
organism,TMP20,8,9/2/22,18:43,19:14
control,TMP20,8,9/2/22,18:43,19:14
organism,TMP22,7.7,9/2/22,20:02,20:33
organism,TMP22,8,9/2/22,20:02,20:33
control,TMP22,8,9/2/22,20:02,20:33
organism,TMP24,7.7,9/2/22,21:20,21:51
organism,TMP24,8,9/2/22,21:20,21:51
control,TMP24,8,9/2/22,21:20,21:51
organism,TMP26,7.7,9/2/22,23:00,23:40
organism,TMP26,8,9/2/22,23:00,23:40
control,TMP26,8,9/2/22,23:00,23:40
control,TMP26,7.7,9/2/22,23:00,23:40
control,TMP24,7.7,9/3/22,0:16,0:41
control,TMP22,7.7,9/3/22,0:57,1:17
control,TMP20,7.7,9/3/22,1:55,2:20
control,TMP18,7.7,9/3/22,2:51,3:12
control,TMP16,7.7,9/3/22,3:22,3:42
control,TMP14,7.7,9/3/22,3:54,4:16
control,TMP12,7.7,9/3/22,4:57,5:18
