Snail_ID,Shell_Width_mm,Shell_Height_mm,Start_Date,Initial_Blotted_Wet_Mass_g,End_Date,Final_Blotted_Wet_Mass_g,Organism_Volume_mL,Mortality
1,20.94,18.53,8/16/22,4.219,9/2/22,4.7775,3.5,
2,22.23,19.43,8/16/22,5.146,9/2/22,5.2827,4,
3,22.21,20.33,8/16/22,4.381,9/2/22,5.2423,3.5,
4,22.3,19.75,8/16/22,5.041,9/2/22,5.6358,4,
5,20.54,19.49,8/16/22,4.695,9/2/22,NA,0,
6,20.09,18.04,8/16/22,3.977,9/2/22,4.256,4.5,
7,19.93,13.71,8/16/22,4.094,9/2/22,4.6785,3,
8,21.09,18.68,8/16/22,4.258,9/2/22,4.7144,3,
9,20.66,18.95,8/16/22,5.112,9/2/22,5.9633,4,
10,21.42,17.72,8/16/22,5.041,9/2/22,NA,0,
11,19.96,19.28,8/16/22,3.859,9/2/22,4.2886,2.5,
12,21.68,21.55,8/16/22,5.193,9/2/22,5.6955,3,
13,20.91,18.12,8/16/22,4.48,9/2/22,5.169,3,
14,21.13,20.52,8/16/22,4.545,9/2/22,5.2694,4,
15,21.83,21.1,8/16/22,5.112,9/2/22,NA,0,
16,21.27,21.11,8/16/22,4.45,9/2/22,4.9831,3,
17,21.94,21.82,8/16/22,4.747,9/2/22,5.5286,3,
18,22.04,22.84,8/16/22,5.137,9/2/22,5.7439,3.5,
19,20.93,22.06,8/16/22,4.562,9/2/22,4.9827,3,
20,21.43,18.77,8/16/22,5.129,9/2/22,NA,0,
21,21.31,19.58,8/16/22,4.482,9/2/22,5.2297,3,
22,20.12,18.75,8/16/22,3.634,9/2/22,3.9327,2.5,
23,19.33,19.64,8/16/22,3.873,9/2/22,4.3538,3,
24,20.31,19,8/16/22,4.038,9/2/22,4.3352,2.5,
25,21.08,19.64,8/16/22,4.132,9/2/22,NA,0,
26,20.98,20.27,8/16/22,4.791,9/2/22,4.9635,3,
27,21.48,20.33,8/16/22,4.57,9/2/22,5.0849,3,
28,22.18,22.05,8/16/22,5.53,9/2/22,6.0681,4.5,
29,21.6,20.39,8/16/22,4.463,9/2/22,5.0393,3,
30,20.28,18.35,8/16/22,3.74,9/2/22,NA,0,
31,19.13,19.36,8/16/22,4.487,9/2/22,4.9874,3,
32,19.63,16.94,8/16/22,3.629,9/2/22,3.8534,2.5,
33,20.7,20.73,8/16/22,4.994,9/2/22,4.9758,3.5,
34,22.47,19.71,8/16/22,5.221,9/2/22,5.559,4,
35,21.88,19.34,8/16/22,5.346,9/2/22,NA,0,
36,20.36,19.38,8/16/22,4.637,9/2/22,5.107,4,Mortality
37,21.05,18.43,8/16/22,4.329,9/2/22,4.818,3,Mortality
38,21.12,19.36,8/16/22,4.307,9/2/22,4.0473,3,
39,19.7,16.96,8/16/22,3.394,9/2/22,3.8284,2.5,
40,19.38,18.21,8/16/22,3.853,9/2/22,NA,0,
41,21.34,19.14,8/16/22,4.576,9/2/22,4.9325,3,
42,22.07,19.81,8/16/22,5.668,9/2/22,6.0854,4,
43,21.59,15.23,8/16/22,5.396,9/2/22,5.7831,3.5,
44,21.23,19.48,8/16/22,4.564,9/2/22,4.9035,3.5,
45,21.42,21.51,8/16/22,5.216,9/2/22,NA,0,
46,21.79,18.51,8/16/22,5.183,9/2/22,5.7143,4,
