Tank_ID,Temp_Treatment,pH_Treatment,Cage_ID,Snail_ID,Algae_ID,Identity
Tank_9,12,7.7,1,1,1,Treatment
Tank_9,12,7.7,2,2,2,Treatment
Tank_9,12,7.7,3,3,3,Treatment
Tank_9,12,7.7,4,4,4,Treatment
Tank_9,12,7.7,Control-05,Control-05,Control-05,Control
Tank_2,14,7.7,6,6,6,Treatment
Tank_2,14,7.7,7,7,7,Treatment
Tank_2,14,7.7,8,8,8,Treatment
Tank_2,14,7.7,9,9,9,Treatment
Tank_2,14,7.7,Control-10,Control-10,Control-10,Control
Tank_3,16,7.7,11,11,11,Treatment
Tank_3,16,7.7,12,12,12,Treatment
Tank_3,16,7.7,13,13,13,Treatment
Tank_3,16,7.7,14,14,14,Treatment
Tank_3,16,7.7,Control-15,Control-15,Control-15,Control
Tank_4,18,7.7,16,16,16,Treatment
Tank_4,18,7.7,17,17,17,Treatment
Tank_4,18,7.7,18,18,18,Treatment
Tank_4,18,7.7,19,19,19,Treatment
Tank_4,18,7.7,Control-20,Control-20,Control-20,Control
Tank_5,20,7.7,21,21,21,Treatment
Tank_5,20,7.7,22,22,22,Treatment
Tank_5,20,7.7,23,23,23,Treatment
Tank_5,20,7.7,24,24,24,Treatment
Tank_5,20,7.7,Control-25,Control-25,Control-25,Control
Tank_6,22,7.7,26,26,26,Treatment
Tank_6,22,7.7,27,27,27,Treatment
Tank_6,22,7.7,28,28,28,Treatment
Tank_6,22,7.7,29,29,29,Treatment
Tank_6,22,7.7,Control-30,Control-30,Control-30,Control
Tank_7,24,7.7,31,31,31,Treatment
Tank_7,24,7.7,32,32,32,Treatment
Tank_7,24,7.7,33,33,33,Treatment
Tank_7,24,7.7,34,34,34,Treatment
Tank_7,24,7.7,Control-35,Control-35,Control-35,Control
Tank_8,26,7.7,36,36,36,Treatment
Tank_8,26,7.7,37,37,37,Treatment
Tank_8,26,7.7,38,38,38,Treatment
Tank_8,26,7.7,39,39,39,Treatment
Tank_8,26,7.7,Control-40,Control-40,Control-40,Control
Tank_18,12,8,41,41,41,Treatment
Tank_18,12,8,42,42,42,Treatment
Tank_18,12,8,43,43,43,Treatment
Tank_18,12,8,44,44,44,Treatment
Tank_18,12,8,Control-45,Control-45,Control-45,Control
Tank_10,14,8,46,46,46,Treatment
Tank_10,14,8,47,47,47,Treatment
Tank_10,14,8,48,48,48,Treatment
Tank_10,14,8,49,49,49,Treatment
Tank_10,14,8,Control-50,Control-50,Control-50,Control
Tank_11,16,8,51,51,51,Treatment
Tank_11,16,8,52,52,52,Treatment
Tank_11,16,8,53,53,53,Treatment
Tank_11,16,8,54,54,54,Treatment
Tank_11,16,8,Control-55,Control-55,Control-55,Control
Tank_12,18,8,56,55,56,Treatment
Tank_12,18,8,57,57,57,Treatment
Tank_12,18,8,58,58,58,Treatment
Tank_12,18,8,59,59,59,Treatment
Tank_12,18,8,Control-60,Control-60,Control-60,Control
Tank_13,20,8,61,61,61,Treatment
Tank_13,20,8,62,62,62,Treatment
Tank_13,20,8,63,63,63,Treatment
Tank_13,20,8,64,64,64,Treatment
Tank_13,20,8,Control-65,Control-65,Control-65,Control
Tank_14,22,8,66,66,66,Treatment
Tank_14,22,8,67,67,67,Treatment
Tank_14,22,8,68,68,68,Treatment
Tank_14,22,8,69,69,69,Treatment
Tank_14,22,8,Control-70,Control-70,Control-70,Control
Tank_15,24,8,71,65,71,Treatment
Tank_15,24,8,72,72,72,Treatment
Tank_15,24,8,73,73,73,Treatment
Tank_15,24,8,74,50,74,Treatment
Tank_15,24,8,Control-75,Control-75,Control-75,Control
Tank_16,26,8,76,75,76,Treatment
Tank_16,26,8,77,77,77,Treatment
Tank_16,26,8,78,60,78,Treatment
Tank_16,26,8,79,70,79,Treatment
Tank_16,26,8,Control-80,Control-80,Control-80,Control
