Temp_Treatment,pH_Treatment,Mean_Temp_C,Mean_DO_Percent,Mean_Salinity,Mean_Conductivity,Mean_pH,Mean_TA,Mean_pCO2,Mean_HCO3,Mean_CO3,Mean_DIC
12,Ambient,12.91 ± 0.2,113.68 ± 1.59,33.24 ± 0.11,50.75 ± 0.15,7.95 ± 0.02,2358.28 ± 19.58,551 ± 28.12,2061.56 ± 23.97,120.64 ± 4.1,2204.36 ± 22.73
14,Ambient,13.9 ± 0.1,106.18 ± 1.08,32.93 ± 0.07,50.26 ± 0.1,7.97 ± 0.02,2357.76 ± 17.16,519.93 ± 28.62,2037.84 ± 20.92,130.42 ± 4.81,2188.57 ± 19.48
16,Ambient,16.17 ± 0.13,102.32 ± 1.01,32.91 ± 0.07,50.56 ± 0.41,7.93 ± 0.02,2355.87 ± 19.49,584.82 ± 30.35,2040.88 ± 19.86,128.78 ± 5.17,2190.99 ± 19.44
18,Ambient,18.18 ± 0.24,99.78 ± 1.05,32.94 ± 0.07,50.19 ± 0.09,7.91 ± 0.02,2360.54 ± 18.2,611.5 ± 34.75,2031.91 ± 19.92,134.71 ± 6.16,2187.68 ± 18.61
20,Ambient,20.76 ± 0.31,103.31 ± 1.07,32.82 ± 0.07,50.01 ± 0.1,7.91 ± 0.02,2348.58 ± 21.84,609.55 ± 29.11,1998.54 ± 24.8,143.75 ± 4.9,2161.86 ± 23.82
22,Ambient,22.36 ± 0.39,98.98 ± 0.77,32.96 ± 0.07,50.22 ± 0.09,7.84 ± 0.02,2369.09 ± 19.13,732.73 ± 39.11,2040.89 ± 18.67,135.21 ± 5.32,2198.57 ± 18.48
24,Ambient,24.75 ± 0.59,102.56 ± 1.28,32.76 ± 0.13,50.18 ± 0.19,7.84 ± 0.03,2356.82 ± 21.89,754.44 ± 56.03,2008.41 ± 27.5,143.72 ± 6.72,2173.9 ± 25.32
26,Ambient,24.45 ± 1,98.99 ± 2.1,32.85 ± 0.18,50.52 ± 0.11,7.89 ± 0.02,2362.64 ± 19.05,666.37 ± 45.38,1984.76 ± 28.41,155.73 ± 6.47,2159.79 ± 25.11
12,Low,13.17 ± 0.41,112.37 ± 1.37,32.85 ± 0.15,50.24 ± 0.2,7.71 ± 0.03,2359.61 ± 18.06,1045.74 ± 87.09,2173.88 ± 16.7,75.7 ± 5.57,2291.24 ± 16.86
14,Low,13.7 ± 0.22,119.31 ± 2.79,32.88 ± 0.09,50.23 ± 0.12,7.67 ± 0.01,2376.31 ± 22.23,1120.49 ± 42.22,2206.85 ± 23.12,69.14 ± 2.03,2320.1 ± 23.76
16,Low,15.92 ± 0.32,104.81 ± 6.25,32.9 ± 0.07,50.14 ± 0.09,7.69 ± 0.02,2350.55 ± 21.16,1070.92 ± 48.09,2160.56 ± 24.07,77.58 ± 3.21,2277.51 ± 24.05
18,Low,18.38 ± 0.26,98.79 ± 1.68,32.92 ± 0.05,50.19 ± 0.09,7.68 ± 0.02,2409.62 ± 18.07,1121.45 ± 54.12,2201.55 ± 18.31,85.63 ± 2.89,2325.52 ± 18.91
20,Low,19.62 ± 0.57,96.02 ± 5.38,32.95 ± 0.08,50.19 ± 0.11,7.64 ± 0.02,2358.68 ± 17.84,1235.04 ± 61.79,2164.32 ± 19.22,79.78 ± 2.94,2284.79 ± 19.59
22,Low,21.64 ± 0.49,96.65 ± 1.26,32.92 ± 0.08,50.15 ± 0.1,7.69 ± 0.01,2358.77 ± 16.72,1077.72 ± 43.37,2126.57 ± 16.06,95.56 ± 3.31,2255.78 ± 16.62
24,Low,22.88 ± 0.66,100.09 ± 1.32,32.68 ± 0.09,49.97 ± 0.1,7.69 ± 0.02,2367.69 ± 17.4,1094.17 ± 58.61,2123.69 ± 16.36,100.72 ± 5.32,2257.55 ± 16.46
26,Low,25.52 ± 0.77,92.3 ± 1.59,32.99 ± 0.06,50.7 ± 0.4,7.66 ± 0.02,2350.6 ± 20.16,1180.44 ± 75.67,2099.06 ± 23.46,103.8 ± 5.99,2236.34 ± 22.63
10,Sump,10.97 ± 0.29,115.02 ± 1.21,32.53 ± 0.32,50.39 ± 0.19,7.91 ± 0.05,2341.31 ± 27.2,688.36 ± 155.01,2074.11 ± 33.67,108.46 ± 7.28,2212.13 ± 33.48
