"Treatment","model_name","sigma","AIC","AICc","BIC","df.residual","Delta_AIC"
"Low","Boatman",12.4544713011903,250.890519742082,254.390519742082,259.494442968993,26,7.39595019005966
"Low","Gaussian",16.7746416071508,267.650761246687,269.189222785148,273.386710064627,28,24.156191694664
"Low","Sharpe-Schoolfield (Full)",11.6424581468372,247.494569553028,252.36413477042,257.532479984424,25,4.00000000100542
"Low","Sharpe-Schoolfield (High)",11.202960574994,243.494569552023,245.894569552023,250.664505574448,27,0
"Low","Weibull",14.2570513478152,258.441128742383,260.841128742383,265.611064764809,27,14.9465591903604
"Ambient","Boatman",9.52130506132324,226.878580829337,230.530754742381,235.28576511931,25,1.81977489367611
"Ambient","Gaussian",9.75499749549543,226.642279562612,228.242279562612,232.247069089261,27,1.58347362695085
"Ambient","Sharpe-Schoolfield (Full)",9.58743963073319,228.069237653423,233.160146744332,237.877619325058,24,3.01043171776152
"Ambient","Sharpe-Schoolfield (High)",9.36449416300513,225.058805935661,227.558805935661,232.064792843972,26,0
"Ambient","Weibull",9.6915985512225,227.11884957085,229.61884957085,234.124836479161,26,2.06004363518903
